 layer     x     y   occupancy           %    capacity
     0    13    12          29      19.863         146
     0    13    13          25      17.123         146
     0    13    14          33      22.603         146
     0    13    15          33      22.603         146
     0    13    16          40      27.397         146
     0    13    17          50      34.247         146
     0    13    18          50      34.247         146
     0    13    19          55      37.671         146
     0    13    20          54      36.986         146
     0    13    21          51      34.932         146
     0    13    22          59      40.411         146
     0    13    23          66      45.205         146
     0    13    24          68      46.575         146
     0    13    25          70      47.945         146
     0    13    26          68      46.575         146
     0    13    27          65      44.521         146
     0    13    28          66      45.205         146
     0    13    29          59      40.411         146
     0    13    30          45      30.822         146
     0    13    31          31      21.233         146
     0    13    32          21      14.384         146
     0    13    33          17      11.644         146
     0    13    34          15      10.274         146
     0    13    35           0       0.000           0
     0    14     0           0       0.000           0
     0    14     1          23      15.753         146
     0    14     2          35      23.973         146
     0    14     3          53      36.301         146
     0    14     4          57      39.041         146
     0    14     5          59      40.411         146
     0    14     6          61      41.781         146
     0    14     7          50      34.247         146
     0    14     8          41      28.082         146
     0    14     9          30      20.548         146
     0    14    10          18      12.329         146
     0    14    11          13       8.904         146
     0    14    12          12       8.219         146
     0    14    13          17      11.644         146
     0    14    14          23      15.753         146
     0    14    15          31      21.233         146
     0    14    16          32      21.918         146
     0    14    17          38      26.027         146
     0    14    18          42      28.767         146
     0    14    19          47      32.192         146
     0    14    20          59      40.411         146
     0    14    21          58      39.726         146
     0    14    22          61      41.781         146
     0    14    23          67      45.890         146
     0    14    24          65      44.521         146
     0    14    25          69      47.260         146
     0    14    26          70      47.945         146
     0    14    27          68      46.575         146
     0    14    28          66      45.205         146
     0    14    29          55      37.671         146
     0    14    30          40      27.397         146
     0    14    31          26      17.808         146
     0    14    32          15      10.274         146
     0    14    33          16      10.959         146
     0    14    34          15      10.274         146
     0    14    35           0       0.000           0
     0    15     0           0       0.000           0
     0    15     1          20      13.699         146
     0    15     2          33      22.603         146
     0    15     3          45      30.822         146
     0    15     4          55      37.671         146
     0    15     5          60      41.096         146
     0    15     6          62      42.466         146
     0    15     7          57      39.041         146
     0    15     8          48      32.877         146
     0    15     9          41      28.082         146
     0    15    10          30      20.548         146
     0    15    11          20      13.699         146
     0    15    12          20      13.699         146
     0    15    13          20      13.699         146
     0    15    14          19      13.014         146
     0    15    15          29      19.863         146
     0    15    16          30      20.548         146
     0    15    17          36      24.658         146
     0    15    18          43      29.452         146
     0    15    19          46      31.507         146
     0    15    20          53      36.301         146
     0    15    21          53      36.301         146
     0    15    22          61      41.781         146
     0    15    23          62      42.466         146
     0    15    24          69      47.260         146
     0    15    25          75      51.370         146
     0    15    26          75      51.370         146
     0    15    27          72      49.315         146
     0    15    28          66      45.205         146
     0    15    29          50      34.247         146
     0    15    30          36      24.658         146
     0    15    31          28      19.178         146
     0    15    32          18      12.329         146
     0    15    33          17      11.644         146
     0    15    34          16      10.959         146
     0    15    35           0       0.000           0
     0    16     0           0       0.000           0
     0    16     1          27      18.493         146
     0    16     2          38      26.027         146
     0    16     3          49      33.562         146
     0    16     4          59      40.411         146
     0    16     5          61      41.781         146
     0    16     6          67      45.890         146
     0    16     7          68      46.575         146
     0    16     8          54      36.986         146
     0    16     9          46      31.507         146
     0    16    10          27      18.493         146
     0    16    11          18      12.329         146
     0    16    12          14       9.589         146
     0    16    13          11       7.534         146
     0    16    14          15      10.274         146
     0    16    15          26      17.808         146
     0    16    16          32      21.918         146
     0    16    17          41      28.082         146
     0    16    18          43      29.452         146
     0    16    19          43      29.452         146
     0    16    20          58      39.726         146
     0    16    21          61      41.781         146
     0    16    22          68      46.575         146
     0    16    23          73      50.000         146
     0    16    24          73      50.000         146
     0    16    25          75      51.370         146
     0    16    26          81      55.479         146
     0    16    27          74      50.685         146
     0    16    28          66      45.205         146
     0    16    29          63      43.151         146
     0    16    30          53      36.301         146
     0    16    31          51      34.932         146
     0    16    32          45      30.822         146
     0    16    33          40      27.397         146
     0    16    34          31      21.233         146
     0    16    35           0       0.000           0
     0    17     0           0       0.000           0
     0    17     1          39      26.712         146
     0    17     2          52      35.616         146
     0    17     3          69      47.260         146
     0    17     4          70      47.945         146
     0    17     5          74      50.685         146
     0    17     6          71      48.630         146
     0    17     7          57      39.041         146
     0    17     8          55      37.671         146
     0    17     9          45      30.822         146
     0    17    10          43      29.452         146
     0    17    11          41      28.082         146
     0    17    12          34      23.288         146
     0    17    13          30      20.548         146
     0    17    14          25      17.123         146
     0    17    15          28      19.178         146
     0    17    16          30      20.548         146
     0    17    17          35      23.973         146
     0    17    18          41      28.082         146
     0    17    19          49      33.562         146
     0    17    20          58      39.726         146
     0    17    21          61      41.781         146
     0    17    22          62      42.466         146
     0    17    23          59      40.411         146
     0    17    24          59      40.411         146
     0    17    25          58      39.726         146
     0    17    26          65      44.521         146
     0    17    27          63      43.151         146
     0    17    28          57      39.041         146
     0    17    29          63      43.151         146
     0    17    30          57      39.041         146
     0    17    31          61      41.781         146
     0    17    32          55      37.671         146
     0    17    33          46      31.507         146
     0    17    34          34      23.288         146
     0    17    35           0       0.000           0
     0    18     0           0       0.000           0
     0    18     1          46      31.507         146
     0    18     2          58      39.726         146
     0    18     3          64      43.836         146
     0    18     4          70      47.945         146
     0    18     5          70      47.945         146
     0    18     6          63      43.151         146
     0    18     7          56      38.356         146
     0    18     8          55      37.671         146
     0    18     9          54      36.986         146
     0    18    10          52      35.616         146
     0    18    11          52      35.616         146
     0    18    12          43      29.452         146
     0    18    13          36      24.658         146
     0    18    14          34      23.288         146
     0    18    15          29      19.863         146
     0    18    16          26      17.808         146
     0    18    17          30      20.548         146
     0    18    18          35      23.973         146
     0    18    19          40      27.397         146
     0    18    20          52      35.616         146
     0    18    21          51      34.932         146
     0    18    22          55      37.671         146
     0    18    23          64      43.836         146
     0    18    24          68      46.575         146
     0    18    25          76      52.055         146
     0    18    26          80      54.795         146
     0    18    27          79      54.110         146
     0    18    28          72      49.315         146
     0    18    29          68      46.575         146
     0    18    30          67      45.890         146
     0    18    31          58      39.726         146
     0    18    32          50      34.247         146
     0    18    33          45      30.822         146
     0    18    34          36      24.658         146
     0    18    35           0       0.000           0
     0    19     0           0       0.000           0
     0    19     1          24      16.438         146
     0    19     2          35      23.973         146
     0    19     3          39      26.712         146
     0    19     4          46      31.507         146
     0    19     5          55      37.671         146
     0    19     6          57      39.041         146
     0    19     7          63      43.151         146
     0    19     8          64      43.836         146
     0    19     9          68      46.575         146
     0    19    10          59      40.411         146
     0    19    11          49      33.562         146
     0    19    12          42      28.767         146
     0    19    13          31      21.233         146
     0    19    14          35      23.973         146
     0    19    15          39      26.712         146
     0    19    16          44      30.137         146
     0    19    17          50      34.247         146
     0    19    18          57      39.041         146
     0    19    19          62      42.466         146
     0    19    20          66      45.205         146
     0    19    21          67      45.890         146
     0    19    22          66      45.205         146
     0    19    23          67      45.890         146
     0    19    24          76      52.055         146
     0    19    25          76      52.055         146
     0    19    26          73      50.000         146
     0    19    27          67      45.890         146
     0    19    28          48      32.877         146
     0    19    29          39      26.712         146
     0    19    30          30      20.548         146
     0    19    31          25      17.123         146
     0    19    32          20      13.699         146
     0    19    33          16      10.959         146
     0    19    34          15      10.274         146
     0    19    35           0       0.000           0
     0    20     0           0       0.000           0
     0    20     1          19      13.014         146
     0    20     2          22      15.068         146
     0    20     3          29      19.863         146
     0    20     4          33      22.603         146
     0    20     5          45      30.822         146
     0    20     6          54      36.986         146
     0    20     7          61      41.781         146
     0    20     8          64      43.836         146
     0    20     9          66      45.205         146
     0    20    10          63      43.151         146
     0    20    11          56      38.356         146
     0    20    12          53      36.301         146
     0    20    13          47      32.192         146
     0    20    14          48      32.877         146
     0    20    15          55      37.671         146
     0    20    16          60      41.096         146
     0    20    17          66      45.205         146
     0    20    18          77      52.740         146
     0    20    19          81      55.479         146
     0    20    20          87      59.589         146
     0    20    21          91      62.329         146
     0    20    22          84      57.534         146
     0    20    23          82      56.164         146
     0    20    24          84      57.534         146
     0    20    25          80      54.795         146
     0    20    26          78      53.425         146
     0    20    27          72      49.315         146
     0    20    28          53      36.301         146
     0    20    29          44      30.137         146
     0    20    30          37      25.342         146
     0    20    31          29      19.863         146
     0    20    32          25      17.123         146
     0    20    33          21      14.384         146
     0    20    34          19      13.014         146
     0    20    35           0       0.000           0
     0    21     0           0       0.000           0
     0    21     1          15      10.274         146
     0    21     2          20      13.699         146
     0    21     3          31      21.233         146
     0    21     4          42      28.767         146
     0    21     5          51      34.932         146
     0    21     6          69      47.260         146
     0    21     7          75      51.370         146
     0    21     8          79      54.110         146
     0    21     9          81      55.479         146
     0    21    10          87      59.589         146
     0    21    11          83      56.849         146
     0    21    12          82      56.164         146
     0    21    13          82      56.164         146
     0    21    14          72      49.315         146
     0    21    15          80      54.795         146
     0    21    16          77      52.740         146
     0    21    17          82      56.164         146
     0    21    18          94      64.384         146
     0    21    19          94      64.384         146
     0    21    20         100      68.493         146
     0    21    21          97      66.438         146
     0    21    22          91      62.329         146
     0    21    23          87      59.589         146
     0    21    24          83      56.849         146
     0    21    25          83      56.849         146
     0    21    26          72      49.315         146
     0    21    27          61      41.781         146
     0    21    28          51      34.932         146
     0    21    29          46      31.507         146
     0    21    30          40      27.397         146
     0    21    31          39      26.712         146
     0    21    32          38      26.027         146
     0    21    33          25      17.123         146
     0    21    34          18      12.329         146
     0    21    35           0       0.000           0
     0    22     0           0       0.000           0
     0    22     1          10       6.849         146
     0    22     2          16      10.959         146
     0    22     3          26      17.808         146
     0    22     4          35      23.973         146
     0    22     5          55      37.671         146
     0    22     6          68      46.575         146
     0    22     7          79      54.110         146
     0    22     8          92      63.014         146
     0    22     9          94      64.384         146
     0    22    10          96      65.753         146
     0    22    11          96      65.753         146
     0    22    12          82      56.164         146
     0    22    13          78      53.425         146
     0    22    14          74      50.685         146
     0    22    15          73      50.000         146
     0    22    16          85      58.219         146
     0    22    17          97      66.438         146
     0    22    18          97      66.438         146
     0    22    19         101      69.178         146
     0    22    20          94      64.384         146
     0    22    21          89      60.959         146
     0    22    22          93      63.699         146
     0    22    23          86      58.904         146
     0    22    24          87      59.589         146
     0    22    25          82      56.164         146
     0    22    26          72      49.315         146
     0    22    27          55      37.671         146
     0    22    28          43      29.452         146
     0    22    29          27      18.493         146
     0    22    30          12       8.219         146
     0    22    31          11       7.534         146
     0    22    32          10       6.849         146
     0    22    33           6       4.110         146
     0    22    34           6       4.110         146
     0    22    35           0       0.000           0
     0    23     0           0       0.000           0
     0    23     1          14       9.589         146
     0    23     2          16      10.959         146
     0    23     3          17      11.644         146
     0    23     4          23      15.753         146
     0    23     5          32      21.918         146
     0    23     6          41      28.082         146
     0    23     7          54      36.986         146
     0    23     8          66      45.205         146
     0    23     9          69      47.260         146
     0    23    10          70      47.945         146
     0    23    11          70      47.945         146
     0    23    12          64      43.836         146
     0    23    13          66      45.205         146
     0    23    14          72      49.315         146
     0    23    15          79      54.110         146
     0    23    16          84      57.534         146
     0    23    17          90      61.644         146
     0    23    18          95      65.068         146
     0    23    19          94      64.384         146
     0    23    20          91      62.329         146
     0    23    21          89      60.959         146
     0    23    22          85      58.219         146
     0    23    23          84      57.534         146
     0    23    24          86      58.904         146
     0    23    25          79      54.110         146
     0    23    26          72      49.315         146
     0    23    27          55      37.671         146
     0    23    28          37      25.342         146
     0    23    29          28      19.178         146
     0    23    30          16      10.959         146
     0    23    31          14       9.589         146
     0    23    32          11       7.534         146
     0    23    33          10       6.849         146
     0    23    34           9       6.164         146
     0    23    35           0       0.000           0
     0    24     0           0       0.000           0
     0    24     1           5       3.425         146
     0    24     2           6       4.110         146
     0    24     3           8       5.479         146
     0    24     4           7       4.795         146
     0    24     5           9       6.164         146
     0    24     6          20      13.699         146
     0    24     7          31      21.233         146
     0    24     8          48      32.877         146
     0    24     9          61      41.781         146
     0    24    10          61      41.781         146
     0    24    11          64      43.836         146
     0    24    12          60      41.096         146
     0    24    13          56      38.356         146
     0    24    14          63      43.151         146
     0    24    15          64      43.836         146
     0    24    16          72      49.315         146
     0    24    17          83      56.849         146
     0    24    18          85      58.219         146
     0    24    19          89      60.959         146
     0    24    20          85      58.219         146
     0    24    21          75      51.370         146
     0    24    22          71      48.630         146
     0    24    23          70      47.945         146
     0    24    24          71      48.630         146
     0    24    25          67      45.890         146
     0    24    26          61      41.781         146
     0    24    27          49      33.562         146
     0    24    28          37      25.342         146
     0    24    29          29      19.863         146
     0    24    30          19      13.014         146
     0    24    31          12       8.219         146
     0    24    32           9       6.164         146
     0    24    33           7       4.795         146
     0    24    34           6       4.110         146
     0    24    35           0       0.000           0
     0    25     0           0       0.000           0
     0    25     1           2       1.370         146
     0    25     2           3       2.055         146
     0    25     3           7       4.795         146
     0    25     4          11       7.534         146
     0    25     5          17      11.644         146
     0    25     6          23      15.753         146
     0    25     7          30      20.548         146
     0    25     8          41      28.082         146
